Title,Date,URL,Compensation,Employment_type,Images,Description
Interior Decorating Internship,2020-10-21 19:40,https://newyork.craigslist.org/mnh/egr/d/new-york-interior-decorating-internship/7218142991.html,internship stipend,part-time,,"
        ,
Description:,
Interior Design/Decorating internship for an architectural and interior design firm in the Flatiron District. Intern will be working mostly with project designers on modern, high-end residential projects.  Responsibilities will be focused on FF&E, vendor correspondence, documentation of projects, installations and space planning. ,
,
Requirements:,
It is important and required you are fluent in Microsoft office/Excel, InDesign, Photoshop, and have experience in ACAD.  You must also be very fluent and well versed in the English language.  Intern must be a team player with a keen eye on detail and execution, as well as strong organizational and note taking skills.  ,
,
To apply:,
Please forward your details, resume and link to your portfolio or maximum of 3 MB of sample work. ,
,
About the company:,
We are a multi-tiered company specializing in architecture, interior design, and home furnishings. The scope of our company includes a modern, high-end architecture and interior design firm, home décor showrooms (3 locations), and a furniture and product design firm.,
    "
Special Inspector (Concrete),2020-10-16 11:56,https://newyork.craigslist.org/brk/egr/d/brooklyn-special-inspector-concrete/7215004849.html,Competitive compensation based on skills/experience,full-time,,"
        ,
Brooklyn based Class 1 special inspection firm seeking a Special Inspector.,
,
JOB FUNCTIONS,
This position will be responsible for performing or witnessing special inspections on New York City construction projects, including mid to high rise buildings.,
,
Candidate will be required to prepare reports on inspection activities, file documentation and complete required technical report forms in accordance with New York City Construction Codes.,
,
QUALIFICATIONS:,
Must have ""ACI Concrete field testing technician"" certification.,
,
Must have one of the following certifications;,
-ICC reinforced concrete special inspector,
or,
-ACI concrete construction special inspector,
,
Strong oral and written communication skills; ability to communicate in English. Follow directions, and interpret engineering and construction plans.    "
Project Architect-Contracted Position,2020-10-19 11:00,https://newyork.craigslist.org/fct/egr/d/greenwich-project-architect-contracted/7216622879.html,Contracted Project Work That Pays by Project,contract,,"
        ,
Boutique architecture firm is searching for a Project Architect. Position available immediately.,
,
We offer a small team environment in a busy established studio, and the opportunity to develop further expertise in the design and construction of custom homes and apartments located primarily in Fairfield, Westchester, and NYC. ,
This is a PROJECT CONTRACTED position rather than a full time position (work and pay is project-by-project depending on availability of projects. Must know Archi-CAD in a Mac-based environment. Specifically looking for some one who can work on both independently and as an effective team member and have a successful history of managing projects in a fast-paced environment. Great opportunity to work on exciting and interesting projects.,
Requirements:,
,
• Bachelor's degree minimum,
• 10+ years residential architecture experience,
• Fluent in Archi-CAD and experienced in Mac-based environment.,
• Competency in preparation and management of contract documents, research, 3-D modeling, and rendering.,
,
,
To apply, please submit:,
,
• A cover letter stating relevant experience and skills;,
,
• A resume or CV that clearly documents the required qualifications;,
    "
Facade / Building Envelope Licensed RA or PE,2020-10-19 14:15,https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope-licensed-ra-or/7216774559.html,Commensurate with experience,full-time,,"
        ,
, ,

As , New York City's leading professional firm dedicated to exterior restoration of buildings and infrastructure, continues our practice from a safe, socially responsible distance, we are proudly committed to keeping our superb staff intact for the duration of this crisis. In fact, we are presently open to augmenting our team, building on over thirty years of dedication to the preservation and renewal of buildings and infrastructure., 
We’re currently considering candidates who are NY State-licensed professional engineers or architects with 7 to 10 years of building-envelope experience. , 
We offer the resources of a large firm with the collaborative culture of a smaller studio, plus access to industry-leading technology and an in-house non-destructive testing lab.
If you’re excited about this opportunity, please send us your resume, a cover letter with salary requirements, and a few pages of attachments (maximum of 10MB, please) or link to your portfolio.,
    "
ESTIMATOR NEEDED FOR CONSTRUCTION COMPANY,2020-10-15 17:33,https://newyork.craigslist.org/mnh/egr/d/new-york-estimator-needed-for/7214650631.html,Salary Plus Benefits after Trial Period,full-time,,"
        ,
NYC Construction Firm,
Specializing in:,
-Structural Steel,
-Masonry,
-Concrete,
-Vertical Transportation,
-Underpinning,
-Fireproofing,
-SOE Work ,
,
ONLY Apply if you have ample experience estimating these areas. ,
4-5 years previous experience in estimating position for General Contractor/Multi-Trade Subcontractor Required,
,
Tasks:,
-Estimating Bids,
-Levelling Sheets,
-Forming Final Proposals,
-Liase with Clients,
-Follow Up with Clients and Form a Meaningful Relationship,
-Communicate with Team and Owner Regarding BIDS,
-Saving Bids to Server and filing away properly,
-Managing Proposal Log and Performing Follow Ups,
-Selecting Bids Best Fit for Company,
-Daily Tasks associated with Estimator- Managing estimating email, personal work email, communicating with clients,
,
,
Some of this work can be done remotely some days a week. To be discussed.,
,
Submit Resume with relevant work experience. You won't be considered if you don't know how to estimate most if not all of these types of trades. We need you to jump right in and be a part of our success!,
,
We are excited to hear back! Thank you.    "
Draftsperson,2020-10-19 18:05,https://newyork.craigslist.org/lgi/egr/d/great-neck-draftsperson/7216932766.html,TBD,part-time,,"
        ,
Seeking Part Time draftperson (Architectural/Engineering) for busy established architectural firm located in Great Neck, Long Island.,
,
Must be motivated and a true self starter. Ability to work on multiple projects & various project types. Ability to coordinate with various consultants.,
,
Familiarity with all aspects of construction drawings, working knowledge of construction and building materials, zoning, building code,  etc.,
,
 Duties will also include, meetings with clients, contractors, working with various Towns/Villages Building Departments, Measuring properties, etc,
,
 Must be able to Multi-task.   Must be a TEAM PLAYER,
 Quality, Accuracy is a MUST,
 Professional Working Environment,
,
,
    "
Conceptual Design Architect,2020-10-13 13:54,https://newyork.craigslist.org/mnh/egr/d/new-york-conceptual-design-architect/7213331290.html,"Commensurate with experience + benefits, 401K, etc.",full-time,,"
        ,
Emerging NYC based Design firm responsible for highly publicized and critically acclaimed mixed-use building projects, seeks intermediate level Design Architect to work on new projects throughout North America. ,
Will work in a small team, focused on conceptual design, where all levels are expected to contribute and participate in  decision making. We are seeking someone who's as agile and imaginative as they are ambitious and resourceful, to fit with a team that's culture steers away from politics and rigidity, and towards meritocracy and collaboration. ,
,
BArch or MArch required. The ideal candidate will have 4+ years of experience, prior experience with planning, concept and design development. Revit and advanced software knowledge is preferred.    "
ENTRY LEVEL - JUNIOR ARCHITECT,2020-10-15 14:38,https://newyork.craigslist.org/mnh/egr/d/new-york-entry-level-junior-architect/7214533870.html,COMPENSATION WILL BE DISCUSS.,employee's choice,,"
        ,
Assist with preparation of  designs, complete construction documents, create building plans and assist in the presentation of materials.  Work under the direct supervision of General Contractor.,
Occasion may work onsite with developing Architectural and Structural drawing designs.,
License or in progress for (Ny, Ny & Westchester County).    "
Assistant Project Manager / Facade Systems,2020-10-14 14:01,https://newyork.craigslist.org/mnh/egr/d/new-york-assistant-project-manager/7213925576.html,Commensurate with experience,full-time,,"
        ,
Incredible opportunity for an ambitious Architect/Engineer or Construction professional with demonstrated experience and interest in facade and building envelope, to join a top national designer/fabricator/contractor of premier curtainwall systems. ,
Will work in a small dynamic environment - a satellite office in NYC, that enjoys the support and infrastructure of the corporate headquarters, but the autonomy and independence of being removed from the larger business entity in the mid-west. As a result, we're seeking not people, not just with fundamental knowledge of facade through either the lens of a designer, engineer or contractor - but someone who has the interest to be front and center, on job-sites, dealing directly with owners and developers, making decisions, representing the brand and developing client-facing skills in a real world setting. Will assist in the management of the process from design through installation of major curtainwall and window wall systems for late commercial, residential and mixed use projects in NYC and throughout the region. Must be able to travel for work (within the northeast), expected travel in 20% range. ,
,
Must have BA/BS and 3 - 7+ years experience in a related design or construction environment. Strong communication skills, resourceful, entrepreneurial types preferred. ,
,
    "
Top Expediting Firm- Immediate Full time Openings- Excellent Benefits,2020-10-13 10:04,https://newyork.craigslist.org/mnh/egr/d/new-york-top-expediting-firm-immediate/7213167632.html,DOE - Excellent Benefits,full-time,,"
        ,
Outsource is the leading provider of Building Code and Zoning Consultation, offering a broad scope of services that includes Approvals, Permit Expediting, and Sign Offs. Outsource prides itself on unparalleled expert representation to architects, engineers, building owners, building managers, attorneys, and contractors. Our encyclopedic knowledge of the Municipal Building Codes and Zoning Laws that regulate construction enables us to navigate projects efficiently and quickly through the application, approval, and sign off processes. The final result is the successful completion of all our projects and absolute customer satisfaction.,
,
We have immediate openings for the following:,
,
•	Project Coordinator,
•	Technical Project Manager,
•	C/O Project Manager,
,
,
Awesome team-oriented work environment and company benefits package.,
,
Company Perks:,
,
- Paid vacation and personal days,
- Paid Holidays,
- Health, Dental, Vision Insurance,
- 401K,
- Company funded HRA,
- Bonus opportunities,
,
- Chance to grow with a dynamic expediting firm who works with elite clients.,
,
,
Please apply on our careers page:,
,
,
    "
